00017817734714,11064394302439008484
00017817796163,4810221553945958000
00017817804516,17277246831358177999
00042406088879,5346533728443139525
00045496420055,11521600189795741647
00045496420284,10711310431946056587
00045496424169,11904337029955312846
00045496426071,12750022806387197528
00045496426262,793736755589202790
00045496426392,9010674658531835925
00045496427306,4387186531541918319
00045496430528,17197363860031529961
00045496430566,12904153250973661640
00045496431303,16342783758867636977
00045496431310,12100648081397488854
00045496431495,12595868403239081811
00045496452599,16644388045837261120
00045496452629,16029746435979286000
00045496453350,None
00089723999853,17327464934579658192
00097855119551,15170385838439821240
00097855131942,4247084856129244106
00097855162045,2370345100780174562
00097855163806,11152380048869997443
00190198001733,14515355679867961335
00190198107077,124084990676533146
00190198383570,3720340301690084275
00190198442024,13042870704572633503
00190198496201,11001877720386955266
00190198659538,14839344643447980858
00190198734846,5575132533701122030
00190198734860,6936584684787121531
00190198763105,12981138009155576159
00190198764829,11537747410871991757
00190198798329,5374563536046614687
00190198806024,16985711857662718337
00190198806567,None
00190198806833,None
00190198886866,18256279001531175128
00190198893376,7069726823646876754
00190198905048,10961905256221168851
00190199223363,11657989604911428968
00190199263208,9735809739229248288
00190199263239,16356101629488781662
00190199269057,11824358818079410558
00190199269149,1229298197338662752
00190199287747,11854967459962693566
00190199291379,15348791825494824423
00190199306899,3289227566348052183
00190199314795,4398308319192853249
00190199315068,16065647379286585199
00190199315891,9005124141485578754
00190199532670,11056374066798614474
00190199532960,8469612224853035560
00190199535039,583955417087361349
00190199535046,6995741110403760529
00190199568334,16575633370799454136
00190199568914,13829834590516957072
00190199569966,None
00190199599840,13898905020057766856
00190199607651,None
00190199608085,None
00190199608511,None
00190199610408,15527388552757266314
00190199610439,12025148139547100522
00190199610521,5593992527631119286
00190199777279,12382321406680008658
00190199777552,8977970713652028886
00190199777835,932916146822718242
00190199778115,17775895780921515172
00190199778399,2193198318009578179
00190199778955,785008538082066219
00190199779235,4668568226680498138
00190199779518,6346193709856323550
00190199779792,15499203811566074856
00190199788848,14503109946277980863
00190199789128,15174171499602545686
00190199789401,1842223749121770060
00190199789685,5271669701748287650
00190199789968,6918860892085016846
00190199790247,9466506846486216349
00190199790803,11008794449567988822
00190199791084,6071103283502062865
00190199791367,13623630483165287359
00190199807891,None
00190199833593,16819874947171160759
00190199835245,15445181431185963164
00190199835900,12927713503800116239
00190199836563,9422617634675313991
00190199837553,None
00190199840522,11315892715795547444
00190199841185,None
00190199841840,15952540517120974358
00190199865433,None
00190780570982,10633383008826071884
00190781030195,16698409518898524754
00190781037460,6479871441141741662
00190781106975,18039093290657368748
00190781106982,5010056922836334173
00190781107088,18171468969120893341
00190781107101,12680334443626414997
00190781107118,7647083984939627667
00190781107132,3725925759530947562
00190781107149,7588930578158776155
00190781107156,11805199305437251765
00190781429401,7051250081276232598
00190781638254,3159664424135793120
00191999788403,5741530919820429609
00192018369726,None
00192018610804,13348965241112879100
00192018780880,3475660430139716638
00192018996106,4999840467613782647
00192018996892,None
00192076019854,3756432975440349130
00192158239569,11918142422059495440
